module,word,example_index,original_jp,plain_jp,fixed_jp,status,unresolved_terms
n1-adverbs,ひとまず,0,<span class='ex-highlight'>ひとまず</span>この<ruby>案<rt>あん</rt></ruby>で<ruby>進<rt>すす</rt></ruby>めましょう。,ひとまずこの案で進めましょう。,<span class='ex-highlight'>ひとまず</span>この<ruby>案<rt>あん</rt></ruby>で<ruby>進<rt>すす</rt></ruby>めましょう。,ok,
n1-adverbs,いったん,0,<span class='ex-highlight'>いったん</span><ruby>休<rt>きゅう</rt></ruby><ruby>憩<rt>けい</rt></ruby>にしましょう。,いったん休憩にしましょう。,<span class='ex-highlight'>いったん</span><ruby>休<rt>きゅう</rt></ruby><ruby>憩<rt>けい</rt></ruby>にしましょう。,ok,
n1-adverbs,かねがね,0,<ruby>噂<rt>うわさ</rt></ruby>は<span class='ex-highlight'>かねがね</span><ruby>聞<rt>き</rt></ruby>いております。,噂はかねがね聞いております。,<ruby>噂<rt>うわさ</rt></ruby>は<span class='ex-highlight'>かねがね</span><ruby>聞<rt>き</rt></ruby>いております。,ok,
n1-adverbs,しばし,0,<span class='ex-highlight'>しばし</span>の<ruby>別<rt>わか</rt></ruby>れを<ruby>惜<rt>お</rt></ruby>しむ。,しばしの別れを惜しむ。,<span class='ex-highlight'>しばし</span>の<ruby>別<rt>わか</rt></ruby>れを<ruby>惜<rt>お</rt></ruby>しむ。,ok,
n1-adverbs,相変わらず,0,<ruby>彼<rt>かれ</rt></ruby>は<span class='ex-highlight'><ruby>相<rt>あい</rt></ruby><ruby>変<rt>か</rt></ruby>わらず</span><ruby>忙<rt>いそが</rt></ruby>しそうだ。,彼は相変わらず忙しそうだ。,<ruby>彼<rt>かれ</rt></ruby>は<span class='ex-highlight'><ruby>相<rt>あい</rt></ruby><ruby>変<rt>か</rt></ruby>わらず</span><ruby>忙<rt>いそが</rt></ruby>しそうだ。,ok,
n1-adverbs,当分,0,<span class='ex-highlight'><ruby>当<rt>とう</rt></ruby><ruby>分<rt>ぶん</rt></ruby></span>は<ruby>今<rt>いま</rt></ruby>の<ruby>仕<rt>し</rt></ruby><ruby>事<rt>ごと</rt></ruby>を<ruby>続<rt>つづ</rt></ruby>けます。,当分は今の仕事を続けます。,<span class='ex-highlight'><ruby>当<rt>とう</rt></ruby><ruby>分<rt>ぶん</rt></ruby></span>は<ruby>今<rt>いま</rt></ruby>の<ruby>仕<rt>し</rt></ruby><ruby>事<rt>ごと</rt></ruby>を<ruby>続<rt>つづ</rt></ruby>けます。,ok,
n1-adverbs,絶えず,0,<ruby>水<rt>みず</rt></ruby>が<span class='ex-highlight'><ruby>絶<rt>た</rt></ruby>えず</span><ruby>流<rt>なが</rt></ruby>れている。,水が絶えず流れている。,<ruby>水<rt>みず</rt></ruby>が<span class='ex-highlight'><ruby>絶<rt>た</rt></ruby>えず</span><ruby>流<rt>なが</rt></ruby>れている。,ok,
n1-adverbs,あらかじめ,0,<span class='ex-highlight'>あらかじめ</span><ruby>連<rt>れん</rt></ruby><ruby>絡<rt>らく</rt></ruby>しておきます。,あらかじめ連絡しておきます。,<span class='ex-highlight'>あらかじめ</span><ruby>連<rt>れん</rt></ruby><ruby>絡<rt>らく</rt></ruby>しておきます。,ok,
n1-adverbs,あらかじめ,1,<span class='ex-highlight'>あらかじめ</span><ruby>資<rt>し</rt></ruby><ruby>料<rt>りょう</rt></ruby>を<ruby>用<rt>よう</rt></ruby><ruby>意<rt>い</rt></ruby>しておく。,あらかじめ資料を用意しておく。,<span class='ex-highlight'>あらかじめ</span><ruby>資<rt>し</rt></ruby><ruby>料<rt>りょう</rt></ruby>を<ruby>用<rt>よう</rt></ruby><ruby>意<rt>い</rt></ruby>しておく。,ok,
n1-adverbs,前もって,0,<span class='ex-highlight'><ruby>前<rt>まえ</rt></ruby>もって</span><ruby>準<rt>じゅん</rt></ruby><ruby>備<rt>び</rt></ruby>をしておく。,前もって準備をしておく。,<span class='ex-highlight'><ruby>前<rt>まえ</rt></ruby>もって</span><ruby>準<rt>じゅん</rt></ruby><ruby>備<rt>び</rt></ruby>をしておく。,ok,
n1-adverbs,かねて,0,<span class='ex-highlight'>かねて</span>からお<ruby>会<rt>あ</rt></ruby>いしたいと<ruby>思<rt>おも</rt></ruby>っていました。,かねてからお会いしたいと思っていました。,<span class='ex-highlight'>かねて</span>からお<ruby>会<rt>あ</rt></ruby>いしたいと<ruby>思<rt>おも</rt></ruby>っていました。,ok,
n1-adverbs,いつの間に,0,<span class='ex-highlight'>いつの<ruby>間<rt>ま</rt></ruby>に</span>か<ruby>雨<rt>あめ</rt></ruby>が<ruby>降<rt>ふ</rt></ruby>っていた。,いつの間にか雨が降っていた。,<span class='ex-highlight'>いつの<ruby>間<rt>ま</rt></ruby>に</span>か<ruby>雨<rt>あめ</rt></ruby>が<ruby>降<rt>ふ</rt></ruby>っていた。,ok,
n1-adverbs,もはや,0,<span class='ex-highlight'>もはや</span><ruby>回<rt>かい</rt></ruby><ruby>復<rt>ふく</rt></ruby>の<ruby>見<rt>み</rt></ruby><ruby>込<rt>こ</rt></ruby>みはない。,もはや回復の見込みはない。,<span class='ex-highlight'>もはや</span><ruby>回<rt>かい</rt></ruby><ruby>復<rt>ふく</rt></ruby>の<ruby>見<rt>み</rt></ruby><ruby>込<rt>こ</rt></ruby>みはない。,ok,
n1-adverbs,従来,0,<span class='ex-highlight'><ruby>従来<rt>じゅうらい</rt></ruby></span>の<ruby>方<rt>ほう</rt></ruby><ruby>法<rt>ほう</rt></ruby>を<ruby>見<rt>み</rt></ruby><ruby>直<rt>なお</rt></ruby>す。,従来の方法を見直す。,<span class='ex-highlight'><ruby>従来<rt>じゅうらい</rt></ruby></span>の<ruby>方<rt>ほう</rt></ruby><ruby>法<rt>ほう</rt></ruby>を<ruby>見<rt>み</rt></ruby><ruby>直<rt>なお</rt></ruby>す。,ok,
n1-adverbs,とっくに,0,<ruby>宿<rt>しゅく</rt></ruby><ruby>題<rt>だい</rt></ruby>なら<span class='ex-highlight'>とっくに</span><ruby>終<rt>お</rt></ruby>わったよ。,宿題ならとっくに終わったよ。,<ruby>宿<rt>しゅく</rt></ruby><ruby>題<rt>だい</rt></ruby>なら<span class='ex-highlight'>とっくに</span><ruby>終<rt>お</rt></ruby>わったよ。,ok,
n1-adverbs,いずれ,0,<span class='ex-highlight'>いずれ</span><ruby>分<rt>わ</rt></ruby>かる<ruby>日<rt>ひ</rt></ruby>が<ruby>来<rt>く</rt></ruby>るでしょう。,いずれ分かる日が来るでしょう。,<span class='ex-highlight'>いずれ</span><ruby>分<rt>わ</rt></ruby>かる<ruby>日<rt>ひ</rt></ruby>が<ruby>来<rt>く</rt></ruby>るでしょう。,ok,
n1-adverbs,今に,0,そんな<ruby>生<rt>せい</rt></ruby><ruby>活<rt>かつ</rt></ruby>をしていると、<span class='ex-highlight'><ruby>今<rt>いま</rt></ruby>に</span><ruby>病<rt>びょう</rt></ruby><ruby>気<rt>き</rt></ruby>になりますよ。,そんな生活をしていると、今に病気になりますよ。,そんな<ruby>生<rt>せい</rt></ruby><ruby>活<rt>かつ</rt></ruby>をしていると、<span class='ex-highlight'><ruby>今<rt>いま</rt></ruby>に</span><ruby>病<rt>びょう</rt></ruby><ruby>気<rt>き</rt></ruby>になりますよ。,ok,
n1-adverbs,今にも,0,<span class='ex-highlight'><ruby>今<rt>いま</rt></ruby>にも</span><ruby>雨<rt>あめ</rt></ruby>が<ruby>降<rt>ふ</rt></ruby>り<ruby>出<rt>だ</rt></ruby>しそうな<ruby>空<rt>そら</rt></ruby>だ。,今にも雨が降り出しそうな空だ。,<span class='ex-highlight'><ruby>今<rt>いま</rt></ruby>にも</span><ruby>雨<rt>あめ</rt></ruby>が<ruby>降<rt>ふ</rt></ruby>り<ruby>出<rt>だ</rt></ruby>しそうな<ruby>空<rt>そら</rt></ruby>だ。,ok,
n1-adverbs,そのうち,0,<span class='ex-highlight'>そのうち</span><ruby>連<rt>れん</rt></ruby><ruby>絡<rt>らく</rt></ruby>します。,そのうち連絡します。,<span class='ex-highlight'>そのうち</span><ruby>連<rt>れん</rt></ruby><ruby>絡<rt>らく</rt></ruby>します。,ok,
n1-adverbs,とっさに,0,<ruby>転<rt>ころ</rt></ruby>びそうになって、<span class='ex-highlight'>とっさに</span><ruby>手<rt>て</rt></ruby>をついた。,転びそうになって、とっさに手をついた。,<ruby>転<rt>ころ</rt></ruby>びそうになって、<span class='ex-highlight'>とっさに</span><ruby>手<rt>て</rt></ruby>をついた。,ok,
n1-adverbs,近々,0,<span class='ex-highlight'><ruby>近々<rt>ちかぢか</rt></ruby></span>、<ruby>新<rt>あたら</rt></ruby>しい<ruby>店<rt>みせ</rt></ruby>がオープンする。,近々、新しい店がオープンする。,<span class='ex-highlight'><ruby>近々<rt>ちかぢか</rt></ruby></span>、<ruby>新<rt>あたら</rt></ruby>しい<ruby>店<rt>みせ</rt></ruby>がオープンする。,ok,
n1-adverbs,追って,0,<ruby>詳<rt>しょう</rt></ruby><ruby>細<rt>さい</rt></ruby>は<span class='ex-highlight'><ruby>追<rt>お</rt></ruby>って</span><ruby>連<rt>れん</rt></ruby><ruby>絡<rt>らく</rt></ruby>します。,詳細は追って連絡します。,<ruby>詳<rt>しょう</rt></ruby><ruby>細<rt>さい</rt></ruby>は<span class='ex-highlight'><ruby>追<rt>お</rt></ruby>って</span><ruby>連<rt>れん</rt></ruby><ruby>絡<rt>らく</rt></ruby>します。,ok,
n1-adverbs,時折,0,<ruby>彼<rt>かれ</rt></ruby>は<span class='ex-highlight'><ruby>時<rt>とき</rt></ruby><ruby>折<rt>おり</rt></ruby></span>、<ruby>寂<rt>さび</rt></ruby>しそうな<ruby>顔<rt>かお</rt></ruby>をする。,彼は時折、寂しそうな顔をする。,<ruby>彼<rt>かれ</rt></ruby>は<span class='ex-highlight'><ruby>時<rt>とき</rt></ruby><ruby>折<rt>おり</rt></ruby></span>、<ruby>寂<rt>さび</rt></ruby>しそうな<ruby>顔<rt>かお</rt></ruby>をする。,ok,
n1-adverbs,まれに,0,この<ruby>地<rt>ち</rt></ruby><ruby>域<rt>いき</rt></ruby>で<ruby>雪<rt>ゆき</rt></ruby>が<ruby>降<rt>ふ</rt></ruby>るのはまれだ。,この地域で雪が降るのはまれだ。,この<ruby>地<rt>ち</rt></ruby><ruby>域<rt>いき</rt></ruby>で<ruby>雪<rt>ゆき</rt></ruby>が<ruby>降<rt>ふ</rt></ruby>るのはまれだ。,ok,
n1-adverbs,滅多に,0,<ruby>彼<rt>かれ</rt></ruby>は<span class='ex-highlight'><ruby>滅<rt>めっ</rt></ruby><ruby>多<rt>た</rt></ruby>に</span><ruby>怒<rt>おこ</rt></ruby>らない。,彼は滅多に怒らない。,<ruby>彼<rt>かれ</rt></ruby>は<span class='ex-highlight'><ruby>滅<rt>めっ</rt></ruby><ruby>多<rt>た</rt></ruby>に</span><ruby>怒<rt>おこ</rt></ruby>らない。,ok,
n1-adverbs,たびたび,0,<span class='ex-highlight'>たびたび</span>お<ruby>電<rt>でん</rt></ruby><ruby>話<rt>わ</rt></ruby>してすみません。,たびたびお電話してすみません。,<span class='ex-highlight'>たびたび</span>お<ruby>電<rt>でん</rt></ruby><ruby>話<rt>わ</rt></ruby>してすみません。,ok,
n1-adverbs,再三,0,<span class='ex-highlight'><ruby>再<rt>さい</rt></ruby><ruby>三<rt>さん</rt></ruby></span><ruby>注<rt>ちゅう</rt></ruby><ruby>意<rt>い</rt></ruby>したのに、<ruby>彼<rt>かれ</rt></ruby>は<ruby>聞<rt>き</rt></ruby>かなかった。,再三注意したのに、彼は聞かなかった。,<span class='ex-highlight'><ruby>再<rt>さい</rt></ruby><ruby>三<rt>さん</rt></ruby></span><ruby>注<rt>ちゅう</rt></ruby><ruby>意<rt>い</rt></ruby>したのに、<ruby>彼<rt>かれ</rt></ruby>は<ruby>聞<rt>き</rt></ruby>かなかった。,ok,
n1-adverbs,しょっちゅう,0,<ruby>彼<rt>かれ</rt></ruby>は<span class='ex-highlight'>しょっちゅう</span><ruby>忘<rt>わす</rt></ruby>れ<ruby>物<rt>もの</rt></ruby>をする。,彼はしょっちゅう忘れ物をする。,<ruby>彼<rt>かれ</rt></ruby>は<span class='ex-highlight'>しょっちゅう</span><ruby>忘<rt>わす</rt></ruby>れ<ruby>物<rt>もの</rt></ruby>をする。,ok,
n1-adverbs,しきりに,0,<ruby>彼<rt>かれ</rt></ruby>は<span class='ex-highlight'>しきりに</span><ruby>時<rt>と</rt></ruby><ruby>計<rt>けい</rt></ruby>を<ruby>気<rt>き</rt></ruby>にしている。,彼はしきりに時計を気にしている。,<ruby>彼<rt>かれ</rt></ruby>は<span class='ex-highlight'>しきりに</span><ruby>時<rt>と</rt></ruby><ruby>計<rt>けい</rt></ruby>を<ruby>気<rt>き</rt></ruby>にしている。,ok,
n1-adverbs,年中,0,<ruby>弟<rt>おとうと</rt></ruby>は<span class='ex-highlight'><ruby>年<rt>ねん</rt></ruby><ruby>中<rt>じゅう</rt></ruby></span><ruby>風<rt>か</rt></ruby><ruby>邪<rt>ぜ</rt></ruby>を<ruby>引<rt>ひ</rt></ruby>いている。,弟は年中風邪を引いている。,<ruby>弟<rt>おとうと</rt></ruby>は<span class='ex-highlight'><ruby>年<rt>ねん</rt></ruby><ruby>中<rt>じゅう</rt></ruby></span><ruby>風<rt>か</rt></ruby><ruby>邪<rt>ぜ</rt></ruby>を<ruby>引<rt>ひ</rt></ruby>いている。,ok,
n1-adverbs,ちょくちょく,0,<ruby>彼<rt>かれ</rt></ruby>はここに<span class='ex-highlight'>ちょくちょく</span><ruby>遊<rt>あそ</rt></ruby>びに<ruby>来<rt>く</rt></ruby>る。,彼はここにちょくちょく遊びに来る。,<ruby>彼<rt>かれ</rt></ruby>はここに<span class='ex-highlight'>ちょくちょく</span><ruby>遊<rt>あそ</rt></ruby>びに<ruby>来<rt>く</rt></ruby>る。,ok,
n1-adverbs,一切,0,<ruby>私<rt>わたし</rt></ruby>はその<ruby>件<rt>けん</rt></ruby>に<span class='ex-highlight'><ruby>一切<rt>いっさい</rt></ruby></span><ruby>関<rt>かか</rt></ruby>わっていない。,私はその件に一切関わっていない。,<ruby>私<rt>わたし</rt></ruby>はその<ruby>件<rt>けん</rt></ruby>に<span class='ex-highlight'><ruby>一切<rt>いっさい</rt></ruby></span><ruby>関<rt>かか</rt></ruby>わっていない。,ok,
n1-adverbs,さっぱり,0,テストのことが<span class='ex-highlight'>さっぱり</span><ruby>分<rt>わ</rt></ruby>からない。,テストのことがさっぱり分からない。,テストのことが<span class='ex-highlight'>さっぱり</span><ruby>分<rt>わ</rt></ruby>からない。,ok,
n1-adverbs,少しも,0,この<ruby>料<rt>りょう</rt></ruby><ruby>理<rt>り</rt></ruby>は<span class='ex-highlight'><ruby>少<rt>すこ</rt></ruby>しも</span><ruby>辛<rt>から</rt></ruby>くない。,この料理は少しも辛くない。,この<ruby>料<rt>りょう</rt></ruby><ruby>理<rt>り</rt></ruby>は<span class='ex-highlight'><ruby>少<rt>すこ</rt></ruby>しも</span><ruby>辛<rt>から</rt></ruby>くない。,ok,
n1-adverbs,ちっとも,0,<ruby>彼<rt>かの</rt></ruby><ruby>女<rt>じょ</rt></ruby>は<span class='ex-highlight'>ちっとも</span><ruby>変<rt>か</rt></ruby>わっていない。,彼女はちっとも変わっていない。,<ruby>彼<rt>かの</rt></ruby><ruby>女<rt>じょ</rt></ruby>は<span class='ex-highlight'>ちっとも</span><ruby>変<rt>か</rt></ruby>わっていない。,ok,
n1-adverbs,そう,0,<ruby>今日<rt>きょう</rt></ruby>は<span class='ex-highlight'>そう</span><ruby>寒<rt>さむ</rt></ruby>くない。,今日はそう寒くない。,<ruby>今日<rt>きょう</rt></ruby>は<span class='ex-highlight'>そう</span><ruby>寒<rt>さむ</rt></ruby>くない。,ok,
n1-adverbs,大（たい）して,0,<ruby>怪我<rt>けが</rt></ruby>は<ruby>大<rt>たい</rt></ruby>したことはなかった。,怪我は大したことはなかった。,<ruby>怪我<rt>けが</rt></ruby>は<ruby>大<rt>たい</rt></ruby>したことはなかった。,ok,
n1-adverbs,とても,0,この<ruby>問<rt>もん</rt></ruby><ruby>題<rt>だい</rt></ruby>は<span class='ex-highlight'>とても</span><ruby>難<rt>むずか</rt></ruby>しくて、<ruby>私<rt>わたし</rt></ruby>には<ruby>解<rt>と</rt></ruby>けません。,この問題はとても難しくて、私には解けません。,この<ruby>問<rt>もん</rt></ruby><ruby>題<rt>だい</rt></ruby>は<span class='ex-highlight'>とても</span><ruby>難<rt>むずか</rt></ruby>しくて、<ruby>私<rt>わたし</rt></ruby>には<ruby>解<rt>と</rt></ruby>けません。,ok,
n1-adverbs,決して,0,この<ruby>秘<rt>ひ</rt></ruby><ruby>密<rt>みつ</rt></ruby>は<span class='ex-highlight'><ruby>決<rt>けっ</rt></ruby>して</span><ruby>誰<rt>だれ</rt></ruby>にも<ruby>言<rt>い</rt></ruby>いません。,この秘密は決して誰にも言いません。,この<ruby>秘<rt>ひ</rt></ruby><ruby>密<rt>みつ</rt></ruby>は<span class='ex-highlight'><ruby>決<rt>けっ</rt></ruby>して</span><ruby>誰<rt>だれ</rt></ruby>にも<ruby>言<rt>い</rt></ruby>いません。,ok,
n1-adverbs,必ずしも,0,<ruby>有<rt>ゆう</rt></ruby><ruby>名<rt>めい</rt></ruby>な<ruby>大<rt>だい</rt></ruby><ruby>学<rt>がく</rt></ruby>を<ruby>出<rt>で</rt></ruby>たからといって、<span class='ex-highlight'><ruby>必<rt>かなら</rt></ruby>ずしも</span><ruby>成<rt>せい</rt></ruby><ruby>功<rt>こう</rt></ruby>するとは<ruby>限<rt>かぎ</rt></ruby>りません。,有名な大学を出たからといって、必ずしも成功するとは限りません。,<ruby>有<rt>ゆう</rt></ruby><ruby>名<rt>めい</rt></ruby>な<ruby>大<rt>だい</rt></ruby><ruby>学<rt>がく</rt></ruby>を<ruby>出<rt>で</rt></ruby>たからといって、<span class='ex-highlight'><ruby>必<rt>かなら</rt></ruby>ずしも</span><ruby>成<rt>せい</rt></ruby><ruby>功<rt>こう</rt></ruby>するとは<ruby>限<rt>かぎ</rt></ruby>りません。,ok,
n1-adverbs,まさか,0,<span class='ex-highlight'>まさか</span><ruby>彼<rt>かれ</rt></ruby>が<ruby>犯<rt>はん</rt></ruby><ruby>人<rt>にん</rt></ruby>だとは<ruby>思<rt>おも</rt></ruby>わなかった。,まさか彼が犯人だとは思わなかった。,<span class='ex-highlight'>まさか</span><ruby>彼<rt>かれ</rt></ruby>が<ruby>犯<rt>はん</rt></ruby><ruby>人<rt>にん</rt></ruby>だとは<ruby>思<rt>おも</rt></ruby>わなかった。,ok,
n1-adverbs,ろくに,0,<ruby>昨日<rt>きのう</rt></ruby>は<ruby>忙<rt>いそが</rt></ruby>しくて<span class='ex-highlight'>ろくに</span><ruby>寝<rt>ね</rt></ruby>ていない。,昨日は忙しくてろくに寝ていない。,<ruby>昨日<rt>きのう</rt></ruby>は<ruby>忙<rt>いそが</rt></ruby>しくて<span class='ex-highlight'>ろくに</span><ruby>寝<rt>ね</rt></ruby>ていない。,ok,
n1-adverbs,一向,0,いくら<ruby>待<rt>ま</rt></ruby>っても、バスが<span class='ex-highlight'><ruby>一向<rt>いっこう</rt></ruby></span>に<ruby>来<rt>こ</rt></ruby>ない。,いくら待っても、バスが一向に来ない。,いくら<ruby>待<rt>ま</rt></ruby>っても、バスが<span class='ex-highlight'><ruby>一向<rt>いっこう</rt></ruby></span>に<ruby>来<rt>こ</rt></ruby>ない。,ok,
n1-adverbs,ひょっとすると,0,<span class='ex-highlight'>ひょっとすると</span>、<ruby>彼<rt>かれ</rt></ruby>は<ruby>来<rt>こ</rt></ruby>ないかもしれない。,ひょっとすると、彼は来ないかもしれない。,<span class='ex-highlight'>ひょっとすると</span>、<ruby>彼<rt>かれ</rt></ruby>は<ruby>来<rt>こ</rt></ruby>ないかもしれない。,ok,
n1-adverbs,もしかすると,0,<span class='ex-highlight'>もしかすると</span>、<ruby>明日<rt>あした</rt></ruby>の<ruby>試<rt>し</rt></ruby><ruby>合<rt>あい</rt></ruby>は<ruby>中<rt>ちゅう</rt></ruby><ruby>止<rt>し</rt></ruby>になるかもしれません。,もしかすると、明日の試合は中止になるかもしれません。,<span class='ex-highlight'>もしかすると</span>、<ruby>明日<rt>あした</rt></ruby>の<ruby>試<rt>し</rt></ruby><ruby>合<rt>あい</rt></ruby>は<ruby>中<rt>ちゅう</rt></ruby><ruby>止<rt>し</rt></ruby>になるかもしれません。,ok,
n1-adverbs,おそらく,0,<ruby>明日<rt>あした</rt></ruby>は<span class='ex-highlight'>おそらく</span><ruby>雨<rt>あめ</rt></ruby>が<ruby>降<rt>ふ</rt></ruby>るだろう。,明日はおそらく雨が降るだろう。,<ruby>明日<rt>あした</rt></ruby>は<span class='ex-highlight'>おそらく</span><ruby>雨<rt>あめ</rt></ruby>が<ruby>降<rt>ふ</rt></ruby>るだろう。,ok,
n1-adverbs,どうも,0,<span class='ex-highlight'>どうも</span><ruby>風<rt>か</rt></ruby><ruby>邪<rt>ぜ</rt></ruby>を<ruby>引<rt>ひ</rt></ruby>いたようで、<ruby>体<rt>からだ</rt></ruby>がだるい。,どうも風邪を引いたようで、体がだるい。,<span class='ex-highlight'>どうも</span><ruby>風<rt>か</rt></ruby><ruby>邪<rt>ぜ</rt></ruby>を<ruby>引<rt>ひ</rt></ruby>いたようで、<ruby>体<rt>からだ</rt></ruby>がだるい。,ok,
n1-adverbs,さぞ,0,<ruby>合<rt>ごう</rt></ruby><ruby>格<rt>かく</rt></ruby>の<ruby>知<rt>し</rt></ruby>らせを<ruby>聞<rt>き</rt></ruby>いて、ご<ruby>両<rt>りょう</rt></ruby><ruby>親<rt>しん</rt></ruby>も<span class='ex-highlight'>さぞ</span>お<ruby>喜<rt>よろこ</rt></ruby>びでしょう。,合格の知らせを聞いて、ご両親もさぞお喜びでしょう。,<ruby>合<rt>ごう</rt></ruby><ruby>格<rt>かく</rt></ruby>の<ruby>知<rt>し</rt></ruby>らせを<ruby>聞<rt>き</rt></ruby>いて、ご<ruby>両<rt>りょう</rt></ruby><ruby>親<rt>しん</rt></ruby>も<span class='ex-highlight'>さぞ</span>お<ruby>喜<rt>よろこ</rt></ruby>びでしょう。,ok,
n1-adverbs,てっきり,0,<ruby>今日<rt>きょう</rt></ruby>は<span class='ex-highlight'>てっきり</span><ruby>休<rt>やす</rt></ruby>みだと<ruby>思<rt>おも</rt></ruby>い<ruby>込<rt>こ</rt></ruby>んでいた。,今日はてっきり休みだと思い込んでいた。,<ruby>今日<rt>きょう</rt></ruby>は<span class='ex-highlight'>てっきり</span><ruby>休<rt>やす</rt></ruby>みだと<ruby>思<rt>おも</rt></ruby>い<ruby>込<rt>こ</rt></ruby>んでいた。,ok,
n1-adverbs,あたかも,0,それは<span class='ex-highlight'>あたかも</span><ruby>夢<rt>ゆめ</rt></ruby>を<ruby>見<rt>み</rt></ruby>ているかのような<ruby>光<rt>こう</rt></ruby><ruby>景<rt>けい</rt></ruby>だった。,それはあたかも夢を見ているかのような光景だった。,それは<span class='ex-highlight'>あたかも</span><ruby>夢<rt>ゆめ</rt></ruby>を<ruby>見<rt>み</rt></ruby>ているかのような<ruby>光<rt>こう</rt></ruby><ruby>景<rt>けい</rt></ruby>だった。,ok,
n1-adverbs,ちょうど,0,その<ruby>雲<rt>くも</rt></ruby>は<span class='ex-highlight'>ちょうど</span><ruby>綿<rt>わた</rt></ruby><ruby>菓<rt>が</rt></ruby><ruby>子<rt>し</rt></ruby>のような<ruby>形<rt>かたち</rt></ruby>をしている。,その雲はちょうど綿菓子のような形をしている。,その<ruby>雲<rt>くも</rt></ruby>は<span class='ex-highlight'>ちょうど</span><ruby>綿<rt>わた</rt></ruby><ruby>菓<rt>が</rt></ruby><ruby>子<rt>し</rt></ruby>のような<ruby>形<rt>かたち</rt></ruby>をしている。,ok,
n1-adverbs,まるで,0,<ruby>今日<rt>きょう</rt></ruby>は<ruby>風<rt>かぜ</rt></ruby>が<ruby>強<rt>つよ</rt></ruby>くて、<span class='ex-highlight'>まるで</span><ruby>冬<rt>ふゆ</rt></ruby>に<ruby>戻<rt>もど</rt></ruby>ったかのようだ。,今日は風が強くて、まるで冬に戻ったかのようだ。,<ruby>今日<rt>きょう</rt></ruby>は<ruby>風<rt>かぜ</rt></ruby>が<ruby>強<rt>つよ</rt></ruby>くて、<span class='ex-highlight'>まるで</span><ruby>冬<rt>ふゆ</rt></ruby>に<ruby>戻<rt>もど</rt></ruby>ったかのようだ。,ok,
n1-adverbs,いかにも,0,それは<span class='ex-highlight'>いかにも</span><ruby>彼<rt>かれ</rt></ruby>らしい<ruby>立<rt>りっ</rt></ruby><ruby>派<rt>ぱ</rt></ruby>な<ruby>行<rt>こう</rt></ruby><ruby>動<rt>どう</rt></ruby>だ。,それはいかにも彼らしい立派な行動だ。,それは<span class='ex-highlight'>いかにも</span><ruby>彼<rt>かれ</rt></ruby>らしい<ruby>立<rt>りっ</rt></ruby><ruby>派<rt>ぱ</rt></ruby>な<ruby>行<rt>こう</rt></ruby><ruby>動<rt>どう</rt></ruby>だ。,ok,
