module,word,source_tone_raw,imported_tone,dictionary_tone,status,source,note
n1-adverbs,ひとまず,②,2,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-adverbs,いったん,⓪,0,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-adverbs,かねがね,⓪,0,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-adverbs,しばし,①,1,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-adverbs,相変わらず,⓪,0,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-adverbs,当分,⓪,0,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-adverbs,絶えず,①,1,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-adverbs,あらかじめ,⓪,0,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。 重复词条已合并。
n1-adverbs,前もって,③,3,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-adverbs,かねて,①,1,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-adverbs,いつの間に,④,4,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-adverbs,もはや,①,1,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-adverbs,従来,①,1,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-adverbs,とっくに,⓪,0,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-adverbs,いずれ,⓪,0,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-adverbs,今に,①,1,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-adverbs,今にも,①,1,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-adverbs,そのうち,⓪,0,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-adverbs,とっさに,⓪,0,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-adverbs,近々,⓪,0,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-adverbs,追って,⓪,0,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-adverbs,時折,②,2,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-adverbs,まれに,①,1,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-adverbs,滅多に,①,1,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-adverbs,たびたび,⓪,0,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-adverbs,再三,⓪,0,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-adverbs,しょっちゅう,①,1,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-adverbs,しきりに,①,1,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-adverbs,年中,⓪/①,0/1,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-adverbs,ちょくちょく,①,1,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-adverbs,一切,①,1,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-adverbs,さっぱり,③,3,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-adverbs,少しも,②,2,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-adverbs,ちっとも,③,3,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-adverbs,そう,①,1,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-adverbs,大（たい）して,①,1,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-adverbs,とても,⓪,0,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-adverbs,決して,⓪,0,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-adverbs,必ずしも,①,1,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-adverbs,まさか,①,1,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-adverbs,ろくに,⓪,0,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-adverbs,一向,⓪,0,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-adverbs,ひょっとすると,⓪,0,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-adverbs,もしかすると,⓪,0,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-adverbs,おそらく,⓪,0,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-adverbs,どうも,①,1,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-adverbs,さぞ,①,1,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-adverbs,てっきり,③,3,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-adverbs,あたかも,①,1,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-adverbs,ちょうど,⓪,0,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-adverbs,まるで,⓪,0,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-adverbs,いかにも,②,2,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-adverbs,一見,⓪,0,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-adverbs,どうやら,①,1,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-adverbs,いくら,①,1,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-adverbs,たとえ,②,2,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-adverbs,万一,①,1,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-adverbs,仮に,⓪,0,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-adverbs,強いて,①,1,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-adverbs,一体,⓪,0,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-adverbs,果たして,②,2,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-adverbs,いっそ,⓪,0,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-adverbs,あえて,①,1,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-adverbs,何とぞ,⓪,0,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-adverbs,かろうじて,②,2,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-adverbs,危うく,③,3,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-adverbs,案の定,③,3,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-loanwords,アクシデント,名・④ (accident),4,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-loanwords,アドバイス,名・③ (advice),3,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-loanwords,ブランク,名・② (blank),2,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-loanwords,ブーム,名・① (boom),1,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-loanwords,ブロック,名・他・② (block),2,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-loanwords,ピント,名・⓪ (focus / 荷兰语: brandpunt),0,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-loanwords,クリア,名・形動・他・① (clear),1,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-loanwords,キャリア,名・① (career),1,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-loanwords,キャラクター,名・② (character),2,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-loanwords,チャージ,名・他・① (charge),1,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-loanwords,チーフ,名・① (chief),1,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-loanwords,クレーム,名・⓪ (claim),0,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-loanwords,コミュニケーション,名・④ (communication),4,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-loanwords,コンパクト,名・形動・① (compact),1,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-loanwords,コンスタント,形動・① (constant),1,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-loanwords,コントラスト,名・② (contrast),2,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-loanwords,コントロール,名・他・④ (control),4,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-loanwords,クール,形動・① (cool),1,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-loanwords,コスト,名・① (cost),1,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-loanwords,サイクル,名・① (cycle),1,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-loanwords,ダメージ,名・① (damage),1,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-loanwords,データベース,名・④ (database),4,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-loanwords,デマ,名・① (demagogie / 德语),1,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-loanwords,ダウン,名・自他・① (down),1,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-loanwords,エラー,名・① (error),1,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-loanwords,エキスパート,名・③ (expert),3,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-loanwords,ハードル,名・⓪ (hurdle),0,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-loanwords,イメージ,名・他・① (image),1,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-loanwords,インタビュー,名・他・① (interview),1,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-loanwords,インスピレーション,名・④ (inspiration),4,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-loanwords,キープ,名・他・① (keep),1,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-loanwords,ノウハウ,名・① (know-how),1,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-loanwords,レイアウト,名・他・③ (layout),3,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-loanwords,レベル,名・① (level),1,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-loanwords,レバー,名・① (lever / liver),1,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-loanwords,ライフワーク,名・④ (lifework),4,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-loanwords,リミット,名・① (limit),1,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-loanwords,ロック,名・他・① (lock / rock),1,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-loanwords,ルックス,名・① (looks),1,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-loanwords,ルーズ,形動・① (loose),1,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-loanwords,メイン,名・① (main),1,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-loanwords,メディア,名・① (media),1,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-loanwords,モダン,形動・① (modern),1,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-loanwords,モーター,名・① (motor),1,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-loanwords,ネック,名・① (neck),1,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-loanwords,ノイズ,名・① (noise),1,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-loanwords,ノルマ,名・① (norma / 俄语),1,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-loanwords,ニュアンス,名・① (nuance / 法语),1,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-loanwords,アウト,名・形動・① (out),1,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-loanwords,アウトライン,名・④ (outline),4,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-loanwords,ペース,名・① (pace),1,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-loanwords,ポーズ,名・① (pause / pose),1,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-loanwords,ピーチ,名・① (peach),1,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-loanwords,ポジション,名・② (position),2,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-loanwords,パワー,名・① (power),1,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-loanwords,プレゼン,名・⓪ (presentation),0,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-loanwords,プレッシャー,名・② (pressure),2,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-loanwords,プライド,名・⓪ (pride),0,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-loanwords,プライバシー,名・② (privacy),2,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-loanwords,プライベート,名・形動・② (private),2,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-loanwords,レーダー,名・① (radar),1,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-loanwords,ランク,名・① (rank),1,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-loanwords,レート,名・① (rate),1,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-loanwords,リタイア,名・自・② (retire),2,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-loanwords,リズム,名・① (rhythm),1,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-loanwords,リスク,名・① (risk),1,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-loanwords,スクリーン,名・③ (screen),3,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-loanwords,センス,名・① (sense),1,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-loanwords,センサー,名・① (sensor),1,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-loanwords,シビア,形動・① (severe),1,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-loanwords,スケール,名・② (scale),2,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-loanwords,シェア,名・他・① (share),1,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-loanwords,シフト,名・自他・① (shift),1,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-loanwords,シンプル,形動・① (simple),1,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-loanwords,スケッチ,名・他・① (sketch),1,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-loanwords,ステータス,名・② (status),2,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-loanwords,ステップ,名・① (step),1,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-loanwords,ストック,名・他・② (stock),2,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-loanwords,ストレート,名・形動・② (straight),2,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-loanwords,ストレス,名・② (stress),2,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-loanwords,スタイル,名・② (style),2,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-loanwords,タブー,名・① (taboo),1,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-loanwords,テンポ,名・① (tempo),1,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-loanwords,タイミング,名・⓪ (timing),0,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-loanwords,トレーニング,名・自他・② (training),2,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-loanwords,トップ,名・① (top),1,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-loanwords,ユニーク,形動・② (unique),2,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-loanwords,ユーザー,名・① (user),1,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-loanwords,ベテラン,名・⓪ (veteran),0,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
n1-loanwords,ウエイト,名・⓪/② (weight),0/2,,needs_manual_dictionary_check,Numbers normalized,自动访问 OJAD/Kanjium 失败，保留表格音调并列入人工校对。
